label	condition	time	mice
WT.m2	WT	t0	m1
WT2.38	WT	t2	m1
WT.m3	WT	t0	m2
WT3.39	WT	t2	m2
WT.m4	WT	t0	m3
WT4.40	WT	t2	m3
WT5.41	WT	t2	m4
WT.m5	WT	t0	m4
WT2.56	WT	t3	m1
WT3.57	WT	t3	m2
WT4.58	WT	t3	m3
WT5.59	WT	t3	m4
Delta1.43	Delta	t2	m1
Delta.m7	Delta	t0	m1
Delta2.44	Delta	t2	m2
Delta.m8	Delta	t0	m2
Delta2.62	Delta	t3	m2
Delta3.45	Delta	t2	m3
Delta.m9	Delta	t0	m3
Delta3.63	Delta	t3	m3
Delta.m11	Delta	t0	m4
Delta5.47	Delta	t2	m4
Delta5.65	Delta	t3	m4
Delta1.61	Delta	t3	m1
DeltaCompl.m13	DeltaCompl	t0	m1
Delta.Compl1.49	DeltaCompl	t2	m1
DeltaCompl.m15	DeltaCompl	t0	m2
Delta.Compl3.51	DeltaCompl	t2	m2
DeltaCompl.m16	DeltaCompl	t0	m3
Delta.Compl4.52	DeltaCompl	t2	m3
DeltaCompl.m17	DeltaCompl	t0	m4
Delta.Compl5.53	DeltaCompl	t2	m4
Delta.Compl1.67	DeltaCompl	t3	m1
Delta.Compl3.69	DeltaCompl	t3	m2
Delta.Compl4.70	DeltaCompl	t3	m3
Delta.Compl5.71	DeltaCompl	t3	m4
